loss,params,iteration,estimators,train_time
0.24113470861062236,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6975715982123062, 'learning_rate': 0.09466133737387199, 'min_child_samples': 225, 'num_leaves': 63, 'reg_alpha': 0.5522101225144291, 'reg_lambda': 0.480121641082963, 'subsample_for_bin': 100000, 'subsample': 1.0, 'metric': 'auc'}",53,10,2.483139599777445
0.23473942167640882,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6364318400530171, 'learning_rate': 0.019633725475586596, 'min_child_samples': 300, 'num_leaves': 86, 'reg_alpha': 0.9557512795256525, 'reg_lambda': 0.5768525770987112, 'subsample_for_bin': 20000, 'subsample': 0.9015080393542516, 'metric': 'auc'}",54,195,7.52875982156641
0.23360989487135808,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6015411259450753, 'learning_rate': 0.02475908175982382, 'min_child_samples': 265, 'num_leaves': 34, 'reg_alpha': 0.4330611951813672, 'reg_lambda': 0.9610887383618534, 'subsample_for_bin': 120000, 'subsample': 0.8319872165138428, 'metric': 'auc'}",55,214,19.55216821783233
0.2379318335775844,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7708304921851987, 'learning_rate': 0.032921490851049354, 'min_child_samples': 370, 'num_leaves': 73, 'reg_alpha': 0.36870801689504035, 'reg_lambda': 0.3965275493606069, 'subsample_for_bin': 80000, 'subsample': 0.7875391066227144, 'metric': 'auc'}",56,123,4.503115659809538
0.24078089282924908,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6779939292187087, 'learning_rate': 0.15353629213756204, 'min_child_samples': 405, 'num_leaves': 42, 'reg_alpha': 0.9096215353014672, 'reg_lambda': 0.6670412323097994, 'subsample_for_bin': 60000, 'subsample': 0.6268527672391336, 'metric': 'auc'}",57,8,1.7947312398619601
0.24374150191175104,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6162831923092349, 'learning_rate': 0.0636559706998688, 'min_child_samples': 325, 'num_leaves': 106, 'reg_alpha': 0.7770905705226379, 'reg_lambda': 0.7301412706665356, 'subsample_for_bin': 300000, 'subsample': 1.0, 'metric': 'auc'}",58,15,2.371347048708344
0.2377934257678037,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.7428121013198913, 'learning_rate': 0.02846787522287674, 'min_child_samples': 210, 'num_leaves': 141, 'reg_alpha': 0.06614924948326578, 'reg_lambda': 0.04988340790352197, 'subsample_for_bin': 20000, 'subsample': 0.6049842625190918, 'metric': 'auc'}",59,107,26.2910416708541
0.23954561306501276,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.8398880463126266, 'learning_rate': 0.052117913136183414, 'min_child_samples': 170, 'num_leaves': 59, 'reg_alpha': 0.2154575223611041, 'reg_lambda': 0.7858847157441816, 'subsample_for_bin': 40000, 'subsample': 0.7332864626597848, 'metric': 'auc'}",60,37,2.6262876071963888
0.23885119308802527,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.6641912999944302, 'learning_rate': 0.024567206993655694, 'min_child_samples': 145, 'num_leaves': 48, 'reg_alpha': 0.3025394576584618, 'reg_lambda': 0.8449504086541202, 'subsample_for_bin': 180000, 'subsample': 0.789624193598895, 'metric': 'auc'}",61,61,3.0252609854217667
0.23989119609999887,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7915826439866954, 'learning_rate': 0.01129903955655715, 'min_child_samples': 435, 'num_leaves': 35, 'reg_alpha': 0.6339772442821325, 'reg_lambda': 0.9646759763224066, 'subsample_for_bin': 80000, 'subsample': 0.9559349468351924, 'metric': 'auc'}",62,34,1.9009275347691528
0.25031625554050063,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.9094560308427446, 'learning_rate': 0.013871571865192854, 'min_child_samples': 110, 'num_leaves': 53, 'reg_alpha': 0.6921538706943322, 'reg_lambda': 0.3105172442673082, 'subsample_for_bin': 280000, 'subsample': 0.6867150256462218, 'metric': 'auc'}",63,116,10.125068584715109
0.2656017300233322,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.8680487758124484, 'learning_rate': 0.03386016954240938, 'min_child_samples': 45, 'num_leaves': 63, 'reg_alpha': 0.8157347382073685, 'reg_lambda': 0.6256621669502469, 'subsample_for_bin': 140000, 'subsample': 0.8801199012441451, 'metric': 'auc'}",64,53,4.243946904418465
0.23946345324449325,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.7675335521698134, 'learning_rate': 0.03930160006684752, 'min_child_samples': 245, 'num_leaves': 41, 'reg_alpha': 0.7351604540744877, 'reg_lambda': 0.8925491748024961, 'subsample_for_bin': 100000, 'subsample': 1.0, 'metric': 'auc'}",65,25,1.531051609490305
0.2339592608150427,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.809082409994919, 'learning_rate': 0.01536788349983837, 'min_child_samples': 270, 'num_leaves': 49, 'reg_alpha': 0.5919171968740398, 'reg_lambda': 0.2839932602366025, 'subsample_for_bin': 60000, 'subsample': 0.7794308168570835, 'metric': 'auc'}",66,193,5.250868026971148
